Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
460,Japhet Tanganga,eng ENG,DF,Tottenham,21,1999,5.4,0,2,0,0,0.37,0,0,,5.5,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
461,Matt Targett,eng ENG,DF,Aston Villa,24,1995,37.8,0,6,2,33.3,0.16,0.05,0,0,20.8,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
462,James Tarkowski,eng ENG,DF,Burnley,27,1992,36,1,22,6,27.3,0.61,0.17,0.05,0.17,8.3,0,0,0,2.6,2.6,0.12,-1.6,-1.6,Matches
463,Percy Tau,za RSA,"FW,MF",Brighton,26,1994,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
464,Sidnei Tavares,pt POR,MF,Leicester City,18,2001,0.9,0,1,1,100,1.06,1.06,0,0,22,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
465,Charlie Taylor,eng ENG,DF,Burnley,26,1993,27,0,3,2,66.7,0.11,0.07,0,0,25,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
466,Neil Taylor,wal WAL,DF,Aston Villa,31,1989,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
467,Allan Tchaptchet,fr FRA,DF,Southampton,18,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
468,Nathan Tella,eng ENG,"FW,MF",Southampton,21,1999,8.3,1,15,7,46.7,1.81,0.85,0.07,0.14,18,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Matches
469,Alex Telles,br BRA,DF,Manchester Utd,27,1992,7.7,0,5,1,20,0.65,0.13,0,0,22.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
470,Kenny Tete,nl NED,DF,Fulham,24,1995,16.5,0,7,2,28.6,0.43,0.12,0,0,18.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
471,William Thomas Fish,eng ENG,DF,Manchester Utd,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
472,Luke Thomas,eng ENG,DF,Leicester City,19,2001,10.8,1,8,3,37.5,0.74,0.28,0.13,0.33,13.1,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
473,Youri Tielemans,be BEL,MF,Leicester City,23,1997,37.3,6,47,18,38.3,1.26,0.48,0.09,0.22,22.1,4,2,2,4.5,3,0.06,1.5,1,Matches
474,Kieran Tierney,sco SCO,DF,Arsenal,23,1997,25.5,1,15,3,20,0.59,0.12,0.07,0.33,24.3,0,0,0,0.4,0.4,0.03,0.6,0.6,Matches
475,James Tomkins,eng ENG,DF,Crystal Palace,31,1989,6.1,0,2,0,0,0.33,0,0,,7.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
476,Fikayo Tomori,eng ENG,DF,Chelsea,22,1997,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
477,Ferrán Torres,es ESP,"FW,MF",Manchester City,20,2000,14.5,7,36,14,38.9,2.48,0.96,0.19,0.5,15,0,0,0,5.4,5.4,0.15,1.6,1.6,Matches
478,Cenk Tosun,tr TUR,FW,Everton,29,1991,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
479,Andros Townsend,eng ENG,"MF,FW",Crystal Palace,29,1991,25.1,1,36,11,30.6,1.43,0.44,0.03,0.09,21.9,4,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
480,Conor Townsend,eng ENG,DF,West Brom,27,1993,24.8,0,11,4,36.4,0.44,0.16,0,0,17.7,2,0,0,1,1,0.09,-1,-1,Matches
481,Adama Traoré,es ESP,FW,Wolves,24,1996,29.4,2,43,13,30.2,1.46,0.44,0.05,0.15,19.3,0,0,0,2.2,2.2,0.05,-0.2,-0.2,Matches
482,Bertrand Traoré,bf BFA,FW,Aston Villa,24,1995,25.7,7,65,23,35.4,2.52,0.89,0.11,0.3,16.2,2,0,0,6.4,6.4,0.1,0.6,0.6,Matches
483,Trézéguet,eg EGY,FW,Aston Villa,25,1994,13,2,35,12,34.3,2.7,0.93,0.06,0.17,13.9,0,0,0,3.8,3.8,0.12,-1.8,-1.8,Matches
484,Leandro Trossard,be BEL,"FW,MF",Brighton,25,1994,29,5,58,23,39.7,2,0.79,0.09,0.22,17.6,2,0,0,5.1,5.1,0.09,-0.1,-0.1,Matches
485,Kostas Tsimikas,gr GRE,DF,Liverpool,24,1996,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
486,Axel Tuanzebe,eng ENG,DF,Manchester Utd,22,1997,4.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
487,Cengiz Ünder,tr TUR,"MF,FW",Leicester City,23,1997,3.1,0,10,2,20,3.2,0.64,0,0,23.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
488,Yan Valery,fr FRA,"DF,MF",Southampton,21,1999,1.1,0,2,0,0,1.75,0,0,,25.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
489,Jamie Vardy,eng ENG,FW,Leicester City,33,1987,31.6,15,73,27,37,2.31,0.86,0.1,0.26,14.1,0,8,9,19.7,12.8,0.18,-4.7,-5.8,Matches
490,Joël Veltman,nl NED,DF,Brighton,28,1992,25.3,1,14,4,28.6,0.55,0.16,0.07,0.25,15.6,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Matches
491,Jannik Vestergaard,dk DEN,DF,Southampton,27,1992,28.6,3,21,8,38.1,0.73,0.28,0.14,0.38,10.3,0,0,0,2.1,2.1,0.1,0.9,0.9,Matches
492,Rúben Vinagre,pt POR,DF,Wolves,21,1999,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
493,Carlos Vinícius,br BRA,FW,Tottenham,25,1995,3.4,1,7,4,57.1,2.05,1.17,0.14,0.25,10.9,0,0,0,1.4,1.4,0.2,-0.4,-0.4,Matches
494,João Virgínia,pt POR,GK,Everton,20,1999,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
495,Vitinha,pt POR,MF,Wolves,20,2000,5.8,0,9,4,44.4,1.56,0.69,0,0,21.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
496,Jake Vokins,eng ENG,DF,Southampton,20,2000,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
497,Matěj Vydra,cz CZE,FW,Burnley,28,1992,15.2,3,35,9,25.7,2.3,0.59,0.09,0.33,13.3,0,0,0,6.1,6.1,0.17,-3.1,-3.1,Matches
498,Theo Walcott,eng ENG,"MF,FW",Southampton,31,1989,18,3,30,11,36.7,1.67,0.61,0.1,0.27,19.8,0,0,0,3,3,0.1,0,0,Matches
499,Theo Walcott,eng ENG,FW,Everton,31,1989,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
