Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
54,Saïd Benrahma,dz ALG,"FW,MF",West Ham,24,1995,15.5,1,35,11,31.4,2.26,0.71,0.03,0.09,19.9,1,0,0,2.3,2.3,0.07,-1.3,-1.3,Matches
55,Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,0,2,0,0,0.68,0,0,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
56,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,10,71,33,46.5,3.52,1.64,0.14,0.3,11.5,0,0,0,8.1,8.1,0.11,1.9,1.9,Matches
57,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,0,1,0,0,0.8,0,0,,9.4,0,0,0,0,0,0.03,0,0,Matches
58,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,2,19,8,42.1,1.25,0.53,0.11,0.25,19.9,1,0,0,1.7,1.7,0.09,0.3,0.3,Matches
59,Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,1,9,1,11.1,0.72,0.08,0,0,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5,Matches
60,Steven Bergwijn,nl NED,"FW,MF",Tottenham,22,1997,13.4,1,15,5,33.3,1.12,0.37,0.07,0.2,16.3,0,0,0,2.5,2.5,0.17,-1.5,-1.5,Matches
61,Bernard,br BRA,"MF,FW",Everton,27,1992,5.1,1,6,2,33.3,1.19,0.4,0.17,0.5,20.4,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
62,Bernardo,br BRA,"DF,MF",Brighton,25,1995,2.3,0,4,0,0,1.75,0,0,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
63,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,0,8,3,37.5,0.28,0.1,0,0,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
64,Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,25.3,2,0,0,1.2,1.2,0.03,-0.2,-0.2,Matches
65,Jayden Bogle,eng ENG,DF,Sheffield Utd,20,2000,12.3,2,17,7,41.2,1.38,0.57,0.12,0.29,12.3,0,0,0,1.8,1.8,0.1,0.2,0.2,Matches
66,Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,1,14,3,21.4,0.67,0.14,0.07,0.33,12.1,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
67,Jarrod Bowen,eng ENG,"FW,MF",West Ham,23,1996,28.5,8,55,16,29.1,1.93,0.56,0.15,0.5,16.2,0,0,0,6.3,6.3,0.11,1.7,1.7,Matches
68,Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,1,16,5,31.3,1.37,0.43,0.06,0.2,19.8,4,0,0,0.8,0.8,0.05,0.2,0.2,Matches
69,Rhian Brewster,eng ENG,FW,Sheffield Utd,20,2000,12.5,0,25,7,28,1.99,0.56,0,0,19.6,1,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches
70,Nathan Broadhead,wal WAL,MF,Everton,22,1998,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
71,Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,0,36,8,22.2,1.15,0.26,0,0,20.4,8,0,0,1.9,1.9,0.05,-1.9,-1.9,Matches
72,Joe Bryan,eng ENG,"DF,FW",Fulham,26,1993,7.4,1,8,2,25,1.08,0.27,0.13,0.5,21.6,1,0,0,0.4,0.4,0.05,0.6,0.6,Matches
73,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,1,2,1,50,0.18,0.09,0.5,1,4.8,0,0,0,0.4,0.4,0.2,0.6,0.6,Matches
74,Oliver Burke,sco SCO,FW,Sheffield Utd,23,1997,14.1,1,25,6,24,1.77,0.43,0.04,0.17,14.6,0,0,0,2.4,2.4,0.1,-1.4,-1.4,Matches
75,Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,1,16,6,37.5,0.7,0.26,0.06,0.17,14.2,0,0,0,1.5,1.5,0.1,-0.5,-0.5,Matches
76,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
77,David Button,eng ENG,GK,West Brom,31,1989,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
78,Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
79,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
80,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20,1,11,3,27.3,0.55,0.15,0.09,0.33,11.4,0,0,0,0.7,0.7,0.06,0.3,0.3,Matches
81,Tom Cairney,sco SCO,MF,Fulham,29,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,20,0,0,0,0.7,0.7,0.06,0.3,0.3,Matches
82,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,16,81,46,56.8,2.54,1.44,0.2,0.35,11.7,0,0,0,15.4,15.4,0.19,0.6,0.6,Matches
83,João Cancelo,pt POR,DF,Manchester City,26,1994,25.5,2,35,11,31.4,1.37,0.43,0.06,0.18,21.5,0,0,0,2,2,0.06,0,0,Matches
84,Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,20,2000,3.9,0,5,3,60,1.27,0.76,0,0,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
85,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,1,14,2,14.3,3.21,0.46,0.07,0.5,13.4,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
86,Scott Carson,eng ENG,GK,Manchester City,34,1985,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
87,Fabio Carvalho,eng ENG,"MF,FW",Fulham,17,2002,2.8,1,9,4,44.4,3.18,1.41,0.11,0.25,14.8,0,0,0,1.1,1.1,0.13,-0.1,-0.1,Matches
88,Matty Cash,eng ENG,DF,Aston Villa,22,1997,26.4,0,9,2,22.2,0.34,0.08,0,0,22.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
89,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
90,Timothy Castagne,be BEL,DF,Leicester City,24,1995,26.1,2,8,3,37.5,0.31,0.12,0.25,0.67,10.3,0,0,0,1.3,1.3,0.16,0.7,0.7,Matches
91,Jonny Castro,es ESP,DF,Wolves,26,1994,5.5,0,1,0,0,0.18,0,0,,16.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
92,Ivan Cavaleiro,pt POR,"FW,MF",Fulham,26,1993,27.5,3,46,16,34.8,1.67,0.58,0.04,0.13,17.4,1,1,2,5.4,4.7,0.1,-2.4,-2.7,Matches
93,Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,10,35,15,42.9,2.29,0.98,0.29,0.67,11.1,0,0,0,7.4,7.4,0.21,2.6,2.6,Matches
94,Dani Ceballos,es ESP,MF,Arsenal,23,1996,17.9,0,12,2,16.7,0.67,0.11,0,0,21.7,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
95,Calum Chambers,eng ENG,DF,Arsenal,25,1995,8.4,0,8,0,0,0.96,0,0,,15.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
96,Ben Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,3,27,10,37,1.06,0.39,0.11,0.3,14,0,0,0,2.4,2.4,0.09,0.6,0.6,Matches
97,Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,0,4,1,25,1.14,0.28,0,0,19.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
98,Andreas Christensen,dk DEN,DF,Chelsea,24,1996,15.2,0,3,0,0,0.2,0,0,,11.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
99,Carney Chukwuemeka,eng ENG,"FW,MF",Aston Villa,16,2004,0.2,0,1,0,0,4.5,0,0,,22,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
100,Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,21,1,8,2,25,0.38,0.1,0.13,0.5,10.4,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
101,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,0,4,1,25,0.31,0.08,0,0,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
102,Conor Coady,eng ENG,DF,Wolves,27,1993,36.7,1,8,2,25,0.22,0.05,0.13,0.5,10.6,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
103,Séamus Coleman,ie IRL,"DF,MF",Everton,31,1988,17.9,0,12,4,33.3,0.67,0.22,0,0,19.1,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
104,Aaron Connolly,ie IRL,FW,Brighton,20,2000,8.8,2,23,8,34.8,2.62,0.91,0.09,0.25,13.7,0,0,0,3.5,3.5,0.15,-1.5,-1.5,Matches
105,Liam Cooper,sco SCO,DF,Leeds United,28,1991,24.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.7,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
106,Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
107,Jack Cork,eng ENG,MF,Burnley,31,1989,15,0,5,0,0,0.33,0,0,,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
108,Hélder Costa,pt POR,"MF,FW",Leeds United,26,1994,12.8,3,16,6,37.5,1.25,0.47,0.19,0.5,14.3,0,0,0,2,2,0.12,1,1,Matches
109,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,0,15,5,33.3,0.44,0.15,0,0,16.6,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
110,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,0,19,4,21.1,0.54,0.11,0,0,24.6,11,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
111,Patrick Cutrone,it ITA,"FW,MF",Wolves,22,1998,0.3,0,1,0,0,3.6,0,0,,10.4,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
112,Stuart Dallas,nir NIR,"DF,MF",Leeds United,29,1991,37.9,8,48,18,37.5,1.27,0.48,0.17,0.44,19.7,0,0,0,4.6,4.6,0.1,3.4,3.4,Matches
113,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15,1,5,2,40,0.33,0.13,0.2,0.5,9.2,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
114,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
115,Ben Davies,wal WAL,DF,Tottenham,27,1993,15,0,3,0,0,0.2,0,0,,13,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
116,Tom Davies,eng ENG,MF,Everton,22,1998,15.8,0,7,0,0,0.44,0,0,,24.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
117,Keinan Davis,eng ENG,"FW,MF",Aston Villa,22,1998,3.1,1,9,2,22.2,2.92,0.65,0.11,0.5,9.6,0,0,0,1,1,0.12,0,0,Matches
118,Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
119,Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,3,16,5,31.3,0.75,0.23,0.19,0.6,8.3,0,0,0,1.7,1.7,0.11,1.3,1.3,Matches
120,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,6,79,25,31.6,3.56,1.13,0.05,0.16,20.2,10,2,3,9.7,7.4,0.09,-3.7,-3.4,Matches
121,Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,0,1,0,0,2.25,0,0,,12,0,0,0,0,0,0.03,0,0,Matches
122,Fabian Delph,eng ENG,"MF,DF",Everton,30,1989,3,0,1,0,0,0.34,0,0,,30.4,0,0,0,0,0,0.03,0,0,Matches
123,Leander Dendoncker,be BEL,"MF,DF",Wolves,25,1995,27.8,1,32,8,25,1.15,0.29,0.03,0.13,13.5,0,0,0,3.3,3.3,0.1,-2.3,-2.3,Matches
124,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,3,25,9,36,1.89,0.68,0.12,0.33,10,0,0,0,5,5,0.2,-2,-2,Matches
125,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,0,1,1,100,0.54,0.54,0,0,22.6,0,0,0,0,0,0.04,0,0,Matches
126,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,0,8,2,25,0.71,0.18,0,0,20.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
127,Grady Diangana,eng ENG,"MF,FW",West Brom,22,1998,13.7,1,14,5,35.7,1.02,0.36,0.07,0.2,16.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
128,Raphael Dias Belloli,br BRA,MF,Leeds United,23,1996,26.2,6,68,27,39.7,2.59,1.03,0.09,0.22,16.3,4,0,0,6,6,0.09,0,0,Matches
129,Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,1,14,7,50,0.44,0.22,0.07,0.14,7.5,0,0,0,2.4,2.4,0.17,-1.4,-1.4,Matches
130,Eric Dier,eng ENG,DF,Tottenham,26,1994,28,0,14,2,14.3,0.5,0.07,0,0,21.5,8,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
131,Lucas Digne,fr FRA,DF,Everton,27,1993,29.8,0,13,0,0,0.44,0,0,,23.2,3,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
132,Virgil van Dijk,nl NED,DF,Liverpool,29,1991,4.1,1,4,2,50,0.97,0.49,0.25,0.5,13.5,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
133,Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,2,3,2,66.7,0.2,0.13,0.67,1,8.2,0,0,0,0.3,0.3,0.11,1.7,1.7,Matches
134,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,1,14,2,14.3,1.02,0.15,0.07,0.5,19.1,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
135,Matt Doherty,ie IRL,DF,Tottenham,28,1992,13.8,0,3,1,33.3,0.22,0.07,0,0,16,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
136,Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,22.2,2,16,4,25,0.72,0.18,0.13,0.5,11.3,0,0,0,1,1,0.06,1,1,Matches
137,Abdoulaye Doucouré,fr FRA,MF,Everton,27,1993,27.1,2,18,5,27.8,0.66,0.18,0.11,0.4,16.8,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
138,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
139,Paul Dummett,wal WAL,DF,Newcastle Utd,28,1991,13.9,1,3,1,33.3,0.22,0.07,0.33,1,6.9,0,0,0,0.3,0.3,0.1,0.7,0.7,Matches
140,Lewis Dunk,eng ENG,DF,Brighton,28,1991,32.6,5,30,13,43.3,0.92,0.4,0.17,0.38,12.3,2,0,0,2.5,2.5,0.08,2.5,2.5,Matches
141,Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3,1,7,1,14.3,2.33,0.33,0.14,1,10.8,0,0,0,0.4,0.4,0.06,0.6,0.6,Matches
142,Ederson,br BRA,GK,Manchester City,26,1993,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
143,Kyle Edwards,eng ENG,"MF,FW",West Brom,22,1998,1.3,0,2,1,50,1.53,0.76,0,0,15.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
144,John Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,0,14,3,21.4,0.48,0.1,0,0,9.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
145,Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,1,3,1,33.3,1.74,0.58,0.33,1,16.4,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
146,Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,0,9,1,11.1,0.97,0.11,0,0,11.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
147,Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,17.2,1,9,2,22.2,0.52,0.12,0.11,0.5,19.3,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches
148,Jonny Evans,nir NIR,DF,Leicester City,32,1988,27.5,2,8,3,37.5,0.29,0.11,0.25,0.67,7.6,0,0,0,1.7,1.7,0.21,0.3,0.3,Matches
149,Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,28.4,4,37,13,35.1,1.3,0.46,0.11,0.31,21.1,4,0,0,2.2,2.2,0.06,1.8,1.8,Matches
150,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
151,Fabinho,br BRA,"DF,MF",Liverpool,26,1993,28.5,0,10,1,10,0.35,0.04,0,0,21.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
152,Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,18,110,40,36.4,3.19,1.16,0.08,0.23,22,16,9,10,15.4,7.8,0.07,2.6,1.2,Matches
153,Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,23.1,0,5,3,60,0.22,0.13,0,0,10.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
154,Fernandinho,br BRA,MF,Manchester City,35,1985,13.2,0,15,3,20,1.14,0.23,0,0,21.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
155,Sam Field,eng ENG,MF,West Brom,22,1998,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
156,Roberto Firmino,br BRA,FW,Liverpool,28,1991,31.5,9,83,32,38.6,2.63,1.01,0.11,0.28,13.8,0,0,0,12.6,12.6,0.16,-3.6,-3.6,Matches
157,John Fleck,sco SCO,MF,Sheffield Utd,28,1991,28.6,0,17,5,29.4,0.59,0.17,0,0,23,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
158,Phil Foden,eng ENG,"FW,MF",Manchester City,20,2000,18,9,45,20,44.4,2.51,1.11,0.2,0.45,14.7,0,0,0,5.5,5.5,0.12,3.5,3.5,Matches
159,Wesley Fofana,fr FRA,DF,Leicester City,19,2000,25.1,0,11,2,18.2,0.44,0.08,0,0,8.8,0,0,0,1,1,0.09,-1,-1,Matches
160,Pablo Fornals,es ESP,"FW,MF",West Ham,24,1996,28.6,5,50,15,30,1.75,0.52,0.1,0.33,15.6,0,0,0,6.5,6.5,0.13,-1.5,-1.5,Matches
161,Fraser Forster,eng ENG,GK,Southampton,32,1988,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
162,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,0.9,0,1,0,0,1.13,0,0,,28.4,0,0,0,0,0,0.03,0,0,Matches
163,Tyrese Francois,au AUS,DF,Fulham,20,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
164,Ryan Fraser,sco SCO,"FW,MF",Newcastle Utd,26,1994,10.3,0,13,6,46.2,1.26,0.58,0,0,21.2,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
165,Fred,br BRA,MF,Manchester Utd,27,1993,26.6,1,25,7,28,0.94,0.26,0.04,0.14,22.1,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
166,Ryan Fredericks,eng ENG,"DF,FW",West Ham,27,1992,6.3,1,3,2,66.7,0.47,0.32,0.33,0.5,14.1,0,0,0,0.3,0.3,0.1,0.7,0.7,Matches
167,Christian Fuchs,at AUT,DF,Leicester City,34,1986,7.8,0,4,0,0,0.51,0,0,,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
168,Darnell Furlong,eng ENG,DF,West Brom,24,1995,32.6,1,26,5,19.2,0.8,0.15,0.04,0.2,13,0,0,0,2,2,0.08,-1,-1,Matches
169,Conor Gallagher,eng ENG,MF,West Brom,20,2000,28.1,2,29,7,24.1,1.03,0.25,0.07,0.29,20.7,0,0,0,1.8,1.8,0.06,0.2,0.2,Matches
170,Eric García,es ESP,DF,Manchester City,19,2001,4.3,0,2,0,0,0.47,0,0,,22.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
171,Dwight Gayle,eng ENG,"FW,MF",Newcastle Utd,29,1990,5.7,1,16,6,37.5,2.8,1.05,0.06,0.17,10.2,1,0,0,2,2,0.13,-1,-1,Matches
172,Jean-Philippe Gbamin,ci CIV,MF,Everton,24,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
173,David de Gea,es ESP,GK,Manchester Utd,29,1990,25.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
174,Anwar El Ghazi,nl NED,FW,Aston Villa,25,1995,17.9,10,60,26,43.3,3.35,1.45,0.1,0.23,20.5,6,4,4,8.1,5.1,0.08,1.9,0.9,Matches
175,Kieran Gibbs,eng ENG,DF,West Brom,30,1989,9,0,1,0,0,0.11,0,0,,12.1,0,0,0,0,0,0.05,0,0,Matches
176,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,20,2000,4.6,1,9,3,33.3,1.96,0.65,0.11,0.33,20.1,0,0,0,1,1,0.11,0,0,Matches
177,Billy Gilmour,sco SCO,MF,Chelsea,19,2001,2.9,0,1,0,0,0.34,0,0,,20,0,0,0,0,0,0.04,0,0,Matches
178,Olivier Giroud,fr FRA,FW,Chelsea,33,1986,8.3,4,29,10,34.5,3.49,1.2,0.14,0.4,10.8,0,0,0,4.8,4.8,0.17,-0.8,-0.8,Matches
179,Ben Godfrey,eng ENG,DF,Everton,22,1998,29.8,0,14,2,14.3,0.47,0.07,0,0,15.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
180,André Gomes,pt POR,MF,Everton,27,1993,17.4,0,14,3,21.4,0.8,0.17,0,0,25,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
181,Joe Gomez,eng ENG,DF,Liverpool,23,1997,6.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
182,Anthony Gordon,eng ENG,"FW,MF",Everton,19,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
183,Karlan Grant,eng ENG,"FW,MF",West Brom,22,1997,12.5,1,16,9,56.3,1.28,0.72,0.06,0.11,15,1,0,0,2.1,2.1,0.13,-1.1,-1.1,Matches
184,Demarai Gray,eng ENG,FW,Leicester City,24,1996,0.2,0,1,0,0,4.74,0,0,,26,1,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
185,Jack Grealish,eng ENG,"FW,MF",Aston Villa,24,1995,24.3,6,49,17,34.7,2.02,0.7,0.12,0.35,16.8,2,0,0,4.3,4.3,0.09,1.7,1.7,Matches
186,Mason Greenwood,eng ENG,FW,Manchester Utd,18,2001,20.2,7,67,23,34.3,3.31,1.14,0.1,0.3,16.4,0,0,0,7.4,7.4,0.11,-0.4,-0.4,Matches
187,Pascal Groß,de GER,"MF,DF",Brighton,29,1991,27.6,3,28,4,14.3,1.01,0.14,0,0,20.9,6,3,4,5.6,2.5,0.09,-2.6,-2.5,Matches
188,Kamil Grosicki,pl POL,"FW,MF",West Brom,32,1988,1.6,0,3,0,0,1.82,0,0,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
189,Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
190,İlkay Gündoğan,de GER,MF,Manchester City,29,1990,22.5,13,52,21,40.4,2.31,0.93,0.23,0.57,16.5,4,1,2,9,7.5,0.14,4,4.5,Matches
191,Antwoine Hackford,eng ENG,"DF,FW",Sheffield Utd,16,2004,0.1,0,1,0,0,8.18,0,0,,12.1,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
192,Sébastien Haller,ci CIV,FW,West Ham,26,1994,10.4,3,25,11,44,2.4,1.06,0.12,0.27,9.5,0,0,0,2.9,2.9,0.12,0.1,0.1,Matches
193,Rekeem Harper,eng ENG,MF,West Brom,20,2000,0.4,0,1,1,100,2.81,2.81,0,0,23,0,0,0,0,0,0.04,0,0,Matches
194,Jack Harrison,eng ENG,MF,Leeds United,23,1996,31.6,8,47,19,40.4,1.49,0.6,0.17,0.42,15.3,1,0,0,6.6,6.6,0.14,1.4,1.4,Matches
195,Kortney Hause,eng ENG,DF,Aston Villa,25,1995,7,1,5,1,20,0.71,0.14,0.2,1,7.4,0,0,0,1.2,1.2,0.24,-0.2,-0.2,Matches
196,Kai Havertz,de GER,"MF,FW",Chelsea,21,1999,16.9,4,35,15,42.9,2.07,0.89,0.11,0.27,12.3,0,0,0,6.3,6.3,0.18,-2.3,-2.3,Matches
197,Isaac Hayden,eng ENG,"MF,DF",Newcastle Utd,25,1995,21.6,0,13,2,15.4,0.6,0.09,0,0,20.3,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
198,Michael Hector,jm JAM,DF,Fulham,28,1992,2.9,0,1,0,0,0.34,0,0,,10,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
199,Ahmed Hegazi,eg EGY,DF,West Brom,29,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
200,Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,12.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
201,Jordan Henderson,eng ENG,"MF,DF",Liverpool,30,1990,18.9,1,14,4,28.6,0.74,0.21,0.07,0.25,17.6,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
202,Jeff Hendrick,ie IRL,MF,Newcastle Utd,28,1992,15.8,2,11,2,18.2,0.7,0.13,0.18,1,17.6,0,0,0,1.1,1.1,0.1,0.9,0.9,Matches
203,Pablo Hernández,es ESP,"MF,FW",Leeds United,35,1985,4.7,0,15,3,20,3.16,0.63,0,0,18,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
